,,,,,,,Difference X Days Later
,,,,,,,1 days,2 days,3 days,4 days,5 days,6 days,7 days,8 days,9 days,10 days,11 days,12 days,13 days,14 days,15 days,16 days,17 days,18 days,19 days,20 days
Rank, Start Date, End Date, Start Value, End Value, Difference in $, ,
,,,,,Difference in %,
1,10/27/2017,11/3/2017,"159.29","174","$14.71",,,,"($1.63)","($0.09)","$0.66","$1.11","$1.11",,,"($0.50)","($0.96)","($4.03)","($2.82)","($2.96)",,,"($3.71)","($3.22)","($0.64)"
,10/27/2017,11/3/2017,"","","9.0%",,,,"-1.0%","0.0%","0.0%","1.0%","1.0%",,,"0.0%","-1.0%","-2.0%","-2.0%","-2.0%",,,"-2.0%","-2.0%","0.0%"

2,1/31/2017,2/7/2017,"121.15","130.54","$9.39",,"$0.81","$1.11","$1.92",,,"$2.54","$2.93","$4.98","$5.13","$4.56",,,,"$5.69","$5.89","$6.84","$5.37",,,"$6.60"
,1/31/2017,2/7/2017,"","","8.0%",,"1.0%","1.0%","1.0%",,,"2.0%","2.0%","4.0%","4.0%","3.0%",,,,"4.0%","5.0%","5.0%","4.0%",,,"5.0%"

3,10/25/2017,11/1/2017,"156.91","169.87","$12.96",,"($3.27)","$4.13",,,"$2.50","$4.04","$4.79","$5.24","$5.24",,,"$3.63","$3.17","$0.10","$1.31","$1.17",,,"$0.42","$0.91"
,10/25/2017,11/1/2017,"","","8.0%",,"-2.0%","2.0%",,,"1.0%","2.0%","3.0%","3.0%","3.0%",,,"2.0%","2.0%","0.0%","1.0%","1.0%",,,"0.0%","1.0%"

4,1/30/2017,2/6/2017,"120.93","129.13","$8.20",,"$1.41","$2.22","$2.52","$3.33",,,"$3.95","$4.34","$6.39","$6.54","$5.97",,,,"$7.10","$7.30","$8.25","$6.78"
,1/30/2017,2/6/2017,"","","7.0%",,"1.0%","2.0%","2.0%","3.0%",,,"3.0%","3.0%","5.0%","5.0%","5.0%",,,,"5.0%","6.0%","6.0%","5.0%"

5,10/24/2017,10/31/2017,"156.29","167.9","$11.61",,"$1.97","($1.30)","$6.10",,,"$4.47","$6.01","$6.76","$7.21","$7.21",,,"$5.60","$5.14","$2.07","$3.28","$3.14",,,"$2.39"
,10/24/2017,10/31/2017,"","","7.0%",,"1.0%","-1.0%","4.0%",,,"3.0%","4.0%","4.0%","4.0%","4.0%",,,"3.0%","3.0%","1.0%","2.0%","2.0%",,,"1.0%"

6,5/3/2017,5/10/2017,"145.59","153.63","$8.04",,"($1.18)","$1.07",,,"$2.38","$2.31","($0.03)","($2.36)","($0.25)",,,"$0.37","$1.27","$0.21","$0.10","$0.37",,,,"($0.21)"
,5/3/2017,5/10/2017,"","","6.0%",,"-1.0%","1.0%",,,"2.0%","2.0%","0.0%","-2.0%","0.0%",,,"0.0%","1.0%","0.0%","0.0%","0.0%",,,,"0.0%"

7,8/1/2017,8/8/2017,"149.1","158.6","$9.50",,"$0.66","$1.30","($2.00)",,,"$0.72","$2.06","$3.34","$1.92","($0.74)",,,"($1.10)","($0.37)","$0.47","$1.83","$1.05",,,"$1.54"
,8/1/2017,8/8/2017,"","","6.0%",,"0.0%","1.0%","-1.0%",,,"0.0%","1.0%","2.0%","1.0%","0.0%",,,"-1.0%","0.0%","0.0%","1.0%","1.0%",,,"1.0%"

8,10/26/2017,11/2/2017,"157.23","166.6","$9.37",,"$7.40",,,"$5.77","$7.31","$8.06","$8.51","$8.51",,,"$6.90","$6.44","$3.37","$4.58","$4.44",,,"$3.69","$4.18","$6.76"
,10/26/2017,11/2/2017,"","","6.0%",,"4.0%",,,"3.0%","4.0%","5.0%","5.0%","5.0%",,,"4.0%","4.0%","2.0%","3.0%","3.0%",,,"2.0%","3.0%","4.0%"

9,1/25/2017,2/1/2017,"120.42","127.03","$6.61",,"$0.95","$1.28",,,"$2.10","$3.51","$4.32","$4.62","$5.43",,,"$6.05","$6.44","$8.49","$8.64","$8.07",,,,"$9.20"
,1/25/2017,2/1/2017,"","","5.0%",,"1.0%","1.0%",,,"2.0%","3.0%","3.0%","4.0%","4.0%",,,"5.0%","5.0%","7.0%","7.0%","6.0%",,,,"7.0%"

10,1/26/2017,2/2/2017,"121.67","127.98","$6.31",,"$0.33",,,"$1.15","$2.56","$3.37","$3.67","$4.48",,,"$5.10","$5.49","$7.54","$7.69","$7.12",,,,"$8.25","$8.45"
,1/26/2017,2/2/2017,"","","5.0%",,"0.0%",,,"1.0%","2.0%","3.0%","3.0%","4.0%",,,"4.0%","4.0%","6.0%","6.0%","6.0%",,,,"6.0%","7.0%"

11,1/27/2017,2/3/2017,"122.14","128.31","$6.17",,,,"$0.82","$2.23","$3.04","$3.34","$4.15",,,"$4.77","$5.16","$7.21","$7.36","$6.79",,,,"$7.92","$8.12","$9.07"
,1/27/2017,2/3/2017,"","","5.0%",,,,"1.0%","2.0%","2.0%","3.0%","3.0%",,,"4.0%","4.0%","6.0%","6.0%","5.0%",,,,"6.0%","6.0%","7.0%"

12,5/5/2017,5/12/2017,"146.76","154.7","$7.94",,,,"$1.31","$1.24","($1.10)","($3.43)","($1.32)",,,"($0.70)","$0.20","($0.86)","($0.97)","($0.70)",,,,"($1.28)","($0.73)","($1.53)"
,5/5/2017,5/12/2017,"","","5.0%",,,,"1.0%","1.0%","-1.0%","-2.0%","-1.0%",,,"0.0%","0.0%","-1.0%","-1.0%","0.0%",,,,"-1.0%","0.0%","-1.0%"

13,5/8/2017,5/15/2017,"149.03","156.01","$6.98",,"($0.07)","($2.41)","($4.74)","($2.63)",,,"($2.01)","($1.11)","($2.17)","($2.28)","($2.01)",,,,"($2.59)","($2.04)","($2.84)","($2.43)"
,5/8/2017,5/15/2017,"","","5.0%",,"0.0%","-2.0%","-3.0%","-2.0%",,,"-1.0%","-1.0%","-1.0%","-1.0%","-1.0%",,,,"-2.0%","-1.0%","-2.0%","-2.0%"

14,7/31/2017,8/7/2017,"149.9","157.06","$7.16",,"$1.54","$2.20","$2.84","($0.46)",,,"$2.26","$3.60","$4.88","$3.46","$0.80",,,"$0.44","$1.17","$2.01","$3.37","$2.59"
,7/31/2017,8/7/2017,"","","5.0%",,"1.0%","1.0%","2.0%","0.0%",,,"1.0%","2.0%","3.0%","2.0%","1.0%",,,"0.0%","1.0%","1.0%","2.0%","2.0%"

15,10/30/2017,11/6/2017,"163.89","172.37","$8.48",,"$1.54","$2.29","$2.74","$2.74",,,"$1.13","$0.67","($2.40)","($1.19)","($1.33)",,,"($2.08)","($1.59)","$0.99",,"$2.73"
,10/30/2017,11/6/2017,"","","5.0%",,"1.0%","1.0%","2.0%","2.0%",,,"1.0%","0.0%","-1.0%","-1.0%","-1.0%",,,"-1.0%","-1.0%","1.0%",,"2.0%"

16,11/2/2017,11/9/2017,"166.6","175.11","$8.51",,"$0.00",,,"($1.61)","($2.07)","($5.14)","($3.93)","($4.07)",,,"($4.82)","($4.33)","($1.75)",,"($0.01)",,,"($0.06)","($0.81)","($2.48)"
,11/2/2017,11/9/2017,"","","5.0%",,"0.0%",,,"-1.0%","-1.0%","-3.0%","-2.0%","-2.0%",,,"-3.0%","-2.0%","-1.0%",,"0.0%",,,"0.0%","0.0%","-1.0%"

17,5/2/2017,5/9/2017,"147.54","153.87","$6.33",,"($0.24)","($1.42)","$0.83",,,"$2.14","$2.07","($0.27)","($2.60)","($0.49)",,,"$0.13","$1.03","($0.03)","($0.14)","$0.13"
,5/2/2017,5/9/2017,"","","4.0%",,"0.0%","-1.0%","1.0%",,,"1.0%","1.0%","0.0%","-2.0%","0.0%",,,"0.0%","1.0%","0.0%","0.0%","0.0%"

18,5/4/2017,5/11/2017,"146.52","152.45","$5.93",,"$2.25",,,"$3.56","$3.49","$1.15","($1.18)","$0.93",,,"$1.55","$2.45","$1.39","$1.28","$1.55",,,,"$0.97","$1.52"
,5/4/2017,5/11/2017,"","","4.0%",,"1.0%",,,"2.0%","2.0%","1.0%","-1.0%","1.0%",,,"1.0%","2.0%","1.0%","1.0%","1.0%",,,,"1.0%","1.0%"

19,7/7/2017,7/14/2017,"142.9","147.97","$5.07",,,,"$0.85","$1.23","$2.51","$3.53","$2.02",,,"$2.61","$3.83","$5.38","$5.78","$1.92",,,"$1.93","$1.13","$11.31","$9.08"
,7/7/2017,7/14/2017,"","","4.0%",,,,"1.0%","1.0%","2.0%","2.0%","1.0%",,,"2.0%","3.0%","4.0%","4.0%","1.0%",,,"1.0%","1.0%","8.0%","6.0%"

